Order ID,Order Date,Customer ID,Product,Category,Sales,Quantity,Region
ORD0000,2023-08-25,CUST682,Smartphone,Electronics,882.51,4,North
ORD0001,2023-09-11,CUST169,Smartphone,Electronics,250.71,3,South
ORD0002,2023-02-26,CUST247,Camera,Electronics,961.92,3,South
ORD0003,2023-01-12,CUST962,Laptop,Electronics,1292.01,5,South
ORD0004,2023-07-17,CUST302,Laptop,Electronics,641.13,2,West
ORD0005,2024-01-01,CUST355,Tablet,Electronics,1738.4,5,North
ORD0006,2023-06-30,CUST374,Headphones,Accessories,1369.24,3,East
ORD0007,2023-04-10,CUST279,Camera,Electronics,88.58,1,North
ORD0008,2023-03-27,CUST836,Camera,Electronics,347.74,3,North
ORD0009,2023-08-03,CUST693,Smartphone,Electronics,193.66,4,North
ORD0010,2023-01-19,CUST813,Smartphone,Electronics,761.6,5,West
ORD0011,2023-12-16,CUST852,Headphones,Accessories,1031.54,4,West
ORD0012,2023-03-27,CUST170,Laptop,Electronics,632.0,3,East
ORD0013,2023-08-26,CUST373,Smartphone,Electronics,1803.08,2,East
ORD0014,2023-02-15,CUST580,Tablet,Electronics,1314.54,1,West
ORD0015,2023-02-27,CUST246,Smartphone,Electronics,669.96,1,East
ORD0016,2023-04-03,CUST927,Headphones,Accessories,147.98,5,East
ORD0017,2023-06-03,CUST985,Laptop,Electronics,1417.21,1,South
ORD0018,2023-12-06,CUST265,Headphones,Accessories,450.16,3,West
ORD0019,2023-11-21,CUST271,Camera,Electronics,1844.08,3,North
ORD0020,2023-10-31,CUST758,Camera,Electronics,1056.32,3,West
ORD0021,2023-11-12,CUST358,Camera,Electronics,845.56,2,North
ORD0022,2023-07-11,CUST552,Headphones,Accessories,121.52,5,West
ORD0023,2023-07-22,CUST401,Headphones,Accessories,223.61,1,South
ORD0024,2023-07-14,CUST480,Tablet,Electronics,1746.6,5,South
ORD0025,2023-06-21,CUST479,Laptop,Electronics,873.17,5,South
ORD0026,2023-05-27,CUST674,Tablet,Electronics,1363.41,3,North
ORD0027,2023-05-21,CUST433,Headphones,Accessories,837.06,4,East
ORD0028,2023-01-24,CUST456,Smartphone,Electronics,846.8,2,West
ORD0029,2023-08-02,CUST353,Smartphone,Electronics,1381.17,4,East
ORD0030,2023-11-05,CUST600,Smartphone,Electronics,275.37,4,East
ORD0031,2023-11-30,CUST124,Headphones,Accessories,1558.24,3,North
ORD0032,2023-02-14,CUST566,Tablet,Electronics,168.84,4,North
ORD0033,2023-05-22,CUST973,Smartphone,Electronics,1355.09,2,West
ORD0034,2023-12-26,CUST481,Headphones,Accessories,373.01,4,West
ORD0035,2023-02-20,CUST835,Tablet,Electronics,1656.0,5,West
ORD0036,2023-06-11,CUST115,Smartphone,Electronics,1849.56,2,South
ORD0037,2023-04-29,CUST898,Camera,Electronics,811.01,4,West
ORD0038,2023-10-26,CUST703,Laptop,Electronics,1016.24,2,North
ORD0039,2023-03-02,CUST269,Camera,Electronics,1466.41,3,East
ORD0040,2023-05-22,CUST507,Headphones,Accessories,1840.66,1,South
ORD0041,2023-01-01,CUST282,Smartphone,Electronics,1914.8,3,North
ORD0042,2023-04-08,CUST448,Camera,Electronics,544.29,1,East
ORD0043,2023-08-01,CUST931,Tablet,Electronics,688.55,4,West
ORD0044,2023-01-14,CUST940,Headphones,Accessories,384.08,1,North
ORD0045,2023-10-26,CUST120,Headphones,Accessories,1203.58,2,North
ORD0046,2023-09-05,CUST345,Smartphone,Electronics,1425.99,1,North
ORD0047,2023-03-30,CUST391,Tablet,Electronics,1061.57,4,South
ORD0048,2023-05-08,CUST954,Camera,Electronics,550.48,2,North
ORD0049,2023-10-27,CUST233,Camera,Electronics,1756.39,3,South
ORD0050,2023-01-03,CUST232,Smartphone,Electronics,120.93,2,East
ORD0051,2023-12-15,CUST944,Headphones,Accessories,1097.59,5,East
ORD0052,2023-03-05,CUST276,Headphones,Accessories,1462.57,5,East
